customer_id,name,city,state,country,registration_date,is_active
0,Customer_0,Ahmedabad,Karnataka,India,2023-06-01,True
1,Customer_1,Bangalore,West Bengal,India,2023-04-06,True
2,Customer_2,Pune,Karnataka,India,2023-05-28,False
3,Customer_3,Delhi,Delhi,India,2023-04-25,False
4,Customer_4,Bangalore,Telangana,India,2023-09-06,True
5,Customer_5,Chennai,Karnataka,India,2023-09-21,False
6,Customer_6,Pune,Tamil Nadu,India,2023-06-06,False
7,Customer_7,Kolkata,Karnataka,India,2023-01-13,True
8,Customer_8,Hyderabad,Delhi,India,2023-05-16,False
9,Customer_9,Chennai,Karnataka,India,2023-06-29,False
10,Customer_10,Mumbai,Gujarat,India,2023-10-20,True
11,Customer_11,Hyderabad,Gujarat,India,2023-02-13,False
12,Customer_12,Bangalore,Tamil Nadu,India,2023-02-28,False
13,Customer_13,Kolkata,Gujarat,India,2023-02-08,True
14,Customer_14,Ahmedabad,Tamil Nadu,India,2023-12-24,False
15,Customer_15,Bangalore,Gujarat,India,2023-09-13,False
16,Customer_16,Hyderabad,Maharashtra,India,2023-05-12,False
17,Customer_17,Delhi,Gujarat,India,2023-02-14,False
18,Customer_18,Delhi,Gujarat,India,2023-12-01,False
19,Customer_19,Ahmedabad,West Bengal,India,2023-10-09,False
20,Customer_20,Ahmedabad,Gujarat,India,2023-12-30,True
21,Customer_21,Mumbai,Gujarat,India,2023-09-06,False
22,Customer_22,Kolkata,Gujarat,India,2023-02-21,False
23,Customer_23,Kolkata,Karnataka,India,2023-07-27,True
24,Customer_24,Bangalore,Gujarat,India,2023-04-08,True
25,Customer_25,Ahmedabad,West Bengal,India,2023-03-21,False
26,Customer_26,Delhi,Gujarat,India,2023-10-28,True
27,Customer_27,Kolkata,Gujarat,India,2023-06-14,True
28,Customer_28,Bangalore,Maharashtra,India,2023-01-18,True
29,Customer_29,Chennai,Telangana,India,2023-01-17,False
30,Customer_30,Chennai,Telangana,India,2023-06-16,False
31,Customer_31,Kolkata,Karnataka,India,2023-09-20,True
32,Customer_32,Kolkata,Maharashtra,India,2023-04-10,True
33,Customer_33,Mumbai,Maharashtra,India,2023-04-01,True
34,Customer_34,Kolkata,Maharashtra,India,2023-06-28,True
35,Customer_35,Mumbai,Karnataka,India,2023-12-10,False
36,Customer_36,Delhi,Karnataka,India,2023-07-17,False
37,Customer_37,Hyderabad,Maharashtra,India,2023-09-06,False
38,Customer_38,Mumbai,Telangana,India,2023-10-13,False
39,Customer_39,Kolkata,Tamil Nadu,India,2023-06-26,False
40,Customer_40,Pune,Karnataka,India,2023-01-27,False
41,Customer_41,Pune,Tamil Nadu,India,2023-01-31,False
42,Customer_42,Hyderabad,Delhi,India,2023-03-02,True
43,Customer_43,Kolkata,Delhi,India,2023-12-21,False
44,Customer_44,Delhi,Gujarat,India,2023-09-25,True
45,Customer_45,Bangalore,Telangana,India,2023-01-04,False
